,0
336,6.43547
337,6.3231106
338,6.188102
339,5.938662
340,5.8708525
341,5.7473726
342,5.6013637
343,5.6121573
344,5.640262
345,5.85738
346,5.9876566
347,5.881314
348,5.810099
349,5.794912
350,5.8738503
351,6.115575
352,6.1123
353,6.175362
354,6.2731137
355,6.3412614
356,6.468438
357,6.5886106
358,6.559957
359,6.4811497
360,6.2700686
361,6.0231304
362,5.978318
363,5.6730227
364,5.3121486
365,4.9173975
366,4.620474
367,4.0082893
368,3.6061502
369,3.3139853
370,3.3431034
371,3.320691
372,3.3739974
373,3.5390382
374,3.7679534
375,4.172726
376,4.51829
377,4.772286
378,4.871179
379,4.866717
380,4.866642
381,4.9602704
382,5.0477195
383,5.098519
384,5.219189
385,5.297103
386,5.4947257
387,5.602095
388,5.64318
389,5.684971
390,5.640351
391,5.470209
392,5.294771
393,5.1260095
394,4.90467
395,4.7009897
396,4.4342365
397,4.257093
398,4.027179
399,3.7973902
400,3.5894403
401,3.537607
402,3.5263283
403,3.4445946
404,3.3584733
405,3.34756
406,3.4143925
407,3.4140453
408,3.426823
409,3.3752491
410,3.351836
411,3.2591765
412,3.1281579
413,2.9863975
414,2.9353688
415,2.9148767
416,2.9111357
417,2.8255386
418,2.800995
419,2.7400749
420,2.6605546
421,2.6579828
422,2.7009966
423,2.8354108
424,2.9177806
425,3.0765095
426,3.2369478
427,3.4356916
428,3.6507185
429,3.9405642
430,4.1827555
431,4.445248
432,4.6521926
433,4.971961
434,4.9949965
435,5.083456
436,5.1459336
437,5.215437
438,5.0553184
439,4.61959
440,4.2798095
441,4.2798862
442,4.293253
443,4.1601386
444,3.95489
445,3.6229277
446,3.3641326
447,3.1125767
448,2.8150594
449,2.5027194
450,2.223897
451,2.0423265
452,1.9647495
453,1.8489609
454,1.7447652
455,1.6937894
456,1.5528884
457,1.4929296
458,1.4334253
459,1.4693897
460,1.3937464
461,1.1214833
462,1.0416738
463,1.0274104
464,1.0204651
465,0.99123955
466,0.9477329
467,0.9220992
468,0.89572686
469,0.84831387
470,0.84681535
471,0.80275697
472,0.7877547
473,0.7984546
474,0.80871516
475,0.8239281
476,0.8535222
477,0.92961055
478,1.0003256
479,1.0465152
480,1.084621
481,1.0665311
482,0.95424616
483,0.92283696
484,0.858163
485,0.8426845
486,0.84434026
487,0.8630183
488,0.8758499
489,0.89704055
490,0.83473235
491,0.7658877
492,0.74857557
493,0.7345085
494,0.7367128
495,0.7818287
496,0.78896576
497,0.80620646
498,0.81687367
499,0.8410434
500,0.9009422
501,0.9730399
502,1.0410552
503,1.1735418
504,1.2509416
505,1.3443799
506,1.4718528
507,1.6408589
508,1.8834748
509,2.2057061
510,2.4448245
511,2.6751573
512,2.844762
513,2.911211
